ID_CLIENTE,SAFRA_REF,PROBABILIDADE_INADIMPLENCIA
8736788139020105764,2021-07,0.9874328
3421433989501830226,2021-07,0.9838193
2694466161223698243,2021-07,0.98297715
2694466161223698243,2021-07,0.9824442
2694466161223698243,2021-07,0.9819758
7815839878620843192,2021-09,0.97873366
7815839878620843192,2021-09,0.9781465
7815839878620843192,2021-10,0.9780838
8736788139020105764,2021-08,0.97394526
3421433989501830226,2021-07,0.95928645
3421433989501830226,2021-09,0.9576839
3421433989501830226,2021-09,0.9570157
3421433989501830226,2021-10,0.95598406
3421433989501830226,2021-11,0.95363855
7231408738455755015,2021-07,0.90082604
7231408738455755015,2021-10,0.90072
7231408738455755015,2021-08,0.899567
7231408738455755015,2021-09,0.8993311
3275327267689584006,2021-09,0.87812513
5714540197488862003,2021-08,0.8734967
5714540197488862003,2021-07,0.87076956
5757271354816214865,2021-08,0.86456174
7231408738455755015,2021-10,0.8560858
5687511145009775604,2021-07,0.8553625
4210463673385510745,2021-07,0.8513409
7231408738455755015,2021-07,0.8512
8107542605807471599,2021-10,0.8498735
9099218788416728596,2021-09,0.84874374
7231408738455755015,2021-09,0.846912
7231408738455755015,2021-07,0.8439381
8107542605807471599,2021-07,0.8420691
7231408738455755015,2021-10,0.84193885
7231408738455755015,2021-07,0.84068
7231408738455755015,2021-10,0.84043634
7231408738455755015,2021-11,0.8377004
8107542605807471599,2021-08,0.8366784
7231408738455755015,2021-09,0.8349738
7231408738455755015,2021-11,0.83475256
5162636608292907782,2021-08,0.8285469
180672270337706285,2021-08,0.82401305
8163895533020293251,2021-10,0.8236597
6056959220685085102,2021-10,0.82261467
8198518259946944874,2021-07,0.8225898
4785355632922927313,2021-10,0.8205522
9099218788416728596,2021-09,0.8203523
1708019696828098378,2021-10,0.81912726
7231408738455755015,2021-10,0.81714803
5687511145009775604,2021-08,0.8156096
9099218788416728596,2021-10,0.81191856
5577659616907513811,2021-10,0.8115649
4781265535199914934,2021-09,0.8090757
4210463673385510745,2021-11,0.80791587
9099218788416728596,2021-07,0.80525464
2726314736140152277,2021-07,0.80476445
6349142675790687765,2021-08,0.80461633
5757271354816214865,2021-07,0.80353254
8163895533020293251,2021-08,0.8019325
8163895533020293251,2021-08,0.8018185
8107542605807471599,2021-09,0.80176324
8107542605807471599,2021-08,0.80097395
4351694415353093046,2021-09,0.79977226
8163895533020293251,2021-08,0.7991093
8733525963966339207,2021-11,0.7986464
8107542605807471599,2021-07,0.798078
2726314736140152277,2021-07,0.7978393
5301988619224057921,2021-10,0.79519135
5757271354816214865,2021-07,0.79352194
8163895533020293251,2021-08,0.79012495
5301988619224057921,2021-09,0.78942376
5301988619224057921,2021-07,0.7892052
4781265535199914934,2021-09,0.7891695
7231408738455755015,2021-07,0.78838575
8229446069655666941,2021-07,0.78574526
5409960473983330744,2021-09,0.7847119
5162636608292907782,2021-09,0.7831348
8163895533020293251,2021-09,0.78255403
7231408738455755015,2021-07,0.7825121
2549266739079962864,2021-09,0.7815421
6598561842700412652,2021-08,0.7814525
8163895533020293251,2021-08,0.78030604
180672270337706285,2021-08,0.7790694
